64, 12288, 12288, 0.9661ms, 0.1204ms, 20.0061Tflops
128, 12288, 12288, 1.0051ms, 0.1394ms, 38.4603Tflops
256, 12288, 12288, 1.9982ms, 0.1285ms, 38.6898Tflops
512, 12288, 12288, 3.0619ms, 0.1328ms, 50.4978Tflops
1024, 12288, 12288, 5.6908ms, 0.1516ms, 54.3398Tflops
2048, 12288, 12288, 10.8833ms, 0.1371ms, 56.8278Tflops
4096, 12288, 12288, 21.0671ms, 0.1209ms, 58.7147Tflops
8192, 12288, 12288, 41.5978ms, 0.1574ms, 59.4719Tflops
16384, 12288, 12288, 82.4409ms, 0.1224ms, 60.0164Tflops
32768, 12288, 12288, 164.5708ms, 0.1217ms, 60.1298Tflops
8192, 64, 64, 0.1869ms, 0.1116ms, 0.3590Tflops
8192, 128, 128, 0.1590ms, 0.1079ms, 1.6880Tflops
8192, 256, 256, 0.2021ms, 0.1045ms, 5.3140Tflops
8192, 512, 512, 0.2655ms, 0.1055ms, 16.1782Tflops
8192, 1024, 1024, 0.4761ms, 0.1160ms, 36.0829Tflops
8192, 2048, 2048, 1.6603ms, 0.1057ms, 41.3886Tflops
8192, 4096, 4096, 5.0944ms, 0.1518ms, 53.9568Tflops
8192, 8192, 8192, 18.9111ms, 0.1242ms, 58.1410Tflops
8192, 16384, 16384, 73.5615ms, 0.1076ms, 59.7873Tflops
8192, 32768, 32768, 291.9754ms, 0.1183ms, 60.2523Tflops
